DHB,Case Status,Count,Date
Auckland,Total cases,58,2020-03-27
Bay of Plenty,Total cases,6,2020-03-27
Canterbury,Total cases,30,2020-03-27
Capital and Coast,Total cases,42,2020-03-27
Counties Manukau,Total cases,28,2020-03-27
Hawke's Bay,Total cases,10,2020-03-27
Hutt Valley,Total cases,11,2020-03-27
Lakes,Total cases,8,2020-03-27
MidCentral,Total cases,7,2020-03-27
Nelson Marlborough,Total cases,18,2020-03-27
Northland,Total cases,4,2020-03-27
South Canterbury,Total cases,2,2020-03-27
Southern,Total cases,39,2020-03-27
Tairāwhiti,Total cases,1,2020-03-27
Taranaki,Total cases,6,2020-03-27
Waikato,Total cases,45,2020-03-27
Wairarapa,Total cases,5,2020-03-27
Waitemata,Total cases,47,2020-03-27
West Coast,Total cases,1,2020-03-27
Whanganui,Total cases,0,2020-03-27
Total,Total cases,368,2020-03-27
